Participant number:,Participant study:,This voice agent made me feel: - Successful.,This voice agent made me feel: - Frustrated.,This voice agent made me feel: - Helped.,This voice agent made me feel: - Efficient.,This voice agent made me feel: - Happy.,This voice agent made me feel: - Agile.,This voice agent made me feel: - Pragmatic.,"This voice agent was: - Extraverted, enthusiastic.","This voice agent was: - Critical, quarrelsome.","This voice agent was: - Dependable, self-disciplined.","This voice agent was: - Anxious, easily upset.","This voice agent was: - Open to new experiences, complex.","This voice agent was: - Reserved, quiet.","This voice agent was: - Sympathetic, warm.","This voice agent was: - Disorganized, careless.","This voice agent was: - Calm, emotionally stable.","This voice agent was: - Conventional, uncreative.",This voice agent was: - Smart.,This voice agent was: - Trustworthy.,This voice agent was: - Likeable.,This voice agent was: - Pragmatic.,This voice agent was: - Helpful.,Did this voice agent ever make a mistake?,Did this agent ever try to repair a mistake it made?,A voice agent that always tried to correct itself after a mistake ... - ... would annoy me,A voice agent that always tried to correct itself after a mistake ... - ... would waste my time,A voice agent that always tried to correct itself after a mistake ... - ... would improve the conversation quality,A voice agent that always tried to correct itself after a mistake ... - ... would help me feel less frustrated,repair,TOTAL
P024,1,7,7,7,7,4,5,5,4,7,6,7,4,3,5,7,4,5,6,6,5,5,7,3,5,7,4,5,2,No-repair(Conditon 1 and 2),123
P025,3,3,3,5,3,4,4,4,3,2,6,1,3,5,5,5,4,4,4,5,3,4,4,3,4,6,7,5,5,Repair(Condition 3 and 4),84
P026,2,1,7,1,1,4,2,2,5,4,2,7,1,2,5,4,7,4,4,4,4,4,2,1,5,1,1,9,3,No-repair(Conditon 1 and 2),77
P027,4,5,3,6,5,5,6,6,7,5,5,5,5,4,5,3,5,4,3,3,5,5,5,1,4,2,3,7,6,Repair(Condition 3 and 4),105
P030,3,6,6,7,5,6,6,6,6,6,5,5,2,3,6,7,6,3,7,7,6,6,7,3,4,1,0,9,9,Repair(Condition 3 and 4),124
P031,4,3,3,6,5,4,5,3,5,3,5,5,4,3,4,5,4,4,4,5,5,3,5,1,4,0,0,9,9,Repair(Condition 3 and 4),93
P032,1,7,7,7,6,6,6,5,7,7,5,7,5,1,5,7,6,5,7,6,7,6,7,3,5,7,5,3,6,No-repair(Conditon 1 and 2),132
P033,2,2,3,3,1,3,3,3,4,3,3,4,6,2,2,2,4,3,4,2,3,3,2,1,5,4,5,6,7,No-repair(Conditon 1 and 2),65
P034,3,4,3,4,4,4,4,4,4,5,3,2,4,4,4,5,3,3,3,4,3,2,2,3,4,7,7,0,0,Repair(Condition 3 and 4),78
P035,4,5,6,6,6,7,4,4,5,4,5,4,6,4,5,6,6,2,7,6,6,4,6,1,4,1,1,8,9,Repair(Condition 3 and 4),114
P036,4,3,5,5,5,5,4,4,5,6,3,5,5,3,5,3,3,5,3,3,5,3,4,1,4,1,2,6,8,Repair(Condition 3 and 4),92
P037,4,5,4,6,5,5,4,3,3,6,2,5,4,4,4,6,6,4,5,5,5,4,5,1,4,3,6,5,7,Repair(Condition 3 and 4),100
P038,1,6,6,6,6,5,6,4,5,7,6,7,6,3,1,7,2,6,6,6,6,5,6,3,5,3,3,7,8,No-repair(Conditon 1 and 2),118
P039,2,2,2,2,2,2,4,2,4,3,3,4,5,2,5,6,5,6,3,3,3,3,3,1,5,3,7,4,5,No-repair(Conditon 1 and 2),74
P041,4,7,6,7,6,6,6,6,5,5,6,5,6,4,5,6,7,3,6,6,6,6,7,1,4,2,1,8,9,Repair(Condition 3 and 4),127
P042,1,5,7,7,5,6,7,7,7,7,7,7,4,4,5,7,7,5,5,7,6,7,7,3,5,5,8,7,7,No-repair(Conditon 1 and 2),136
P045,4,5,3,6,3,3,4,4,5,3,6,3,5,4,5,4,6,2,6,5,3,4,5,1,4,4,2,3,0,Repair(Condition 3 and 4),94
P046,1,4,4,6,6,4,5,5,4,7,5,7,7,4,4,7,4,1,6,4,4,6,5,3,5,10,10,0,10,No-repair(Conditon 1 and 2),109
P047,4,6,6,6,6,4,4,2,6,6,6,6,6,6,4,4,4,2,6,6,6,2,6,1,4,4,8,8,4,Repair(Condition 3 and 4),110
P049,3,7,3,6,6,6,6,6,5,7,3,2,7,4,5,6,4,2,6,6,6,4,6,3,4,7,3,5,4,Repair(Condition 3 and 4),113
P050,1,7,6,7,6,5,2,4,5,6,4,7,3,4,3,6,7,6,6,6,5,7,7,3,5,2,4,7,7,No-repair(Conditon 1 and 2),119
P051,2,3,3,3,2,3,3,5,5,5,3,5,5,3,3,5,5,3,3,2,3,5,5,1,5,4,7,4,4,No-repair(Conditon 1 and 2),82
P052,3,6,5,6,7,6,5,5,3,7,6,7,4,3,5,6,7,6,5,6,5,5,6,3,4,4,3,7,8,Repair(Condition 3 and 4),121
P053,4,4,2,7,3,4,5,4,5,7,2,7,5,2,6,6,5,4,5,2,5,6,7,1,4,4,6,9,7,Repair(Condition 3 and 4),103
P054,1,4,4,5,5,2,2,5,4,4,5,4,4,4,4,4,4,4,4,5,2,4,5,3,5,5,5,5,6,No-repair(Conditon 1 and 2),88
P056,3,7,7,7,7,5,4,6,5,2,5,1,4,3,5,5,4,5,5,5,3,3,5,3,4,7,5,0,1,Repair(Condition 3 and 4),103
P057,4,3,2,3,5,5,4,5,5,4,5,5,4,4,5,3,5,3,5,5,5,4,6,1,4,10,9,6,6,Repair(Condition 3 and 4),95
P058,1,7,6,5,6,6,4,4,3,6,5,6,2,3,5,6,6,4,5,5,6,4,6,3,5,6,4,6,4,No-repair(Conditon 1 and 2),110
P059,2,2,2,1,2,3,2,4,5,5,1,4,2,4,2,2,5,3,3,1,5,4,2,1,5,3,1,7,8,No-repair(Conditon 1 and 2),64
P060,3,6,6,7,6,6,6,7,4,7,6,2,4,2,4,7,3,2,7,7,6,7,7,3,4,9,7,5,4,Repair(Condition 3 and 4),119
P061,4,6,3,6,5,6,5,5,5,5,6,6,6,4,6,6,5,6,6,5,6,5,6,1,4,0,0,8,8,Repair(Condition 3 and 4),119
P062,1,6,6,7,7,6,5,7,5,7,6,6,5,3,5,7,5,5,6,6,5,7,7,3,5,4,6,8,7,No-repair(Conditon 1 and 2),129
P063,2,3,3,2,2,4,1,4,5,2,3,7,3,5,4,3,5,5,4,2,4,3,2,1,5,4,3,10,10,No-repair(Conditon 1 and 2),76
P064,3,5,7,7,7,5,5,4,5,7,6,7,2,2,5,7,6,2,5,6,6,4,7,3,4,2,3,5,5,Repair(Condition 3 and 4),117
P065,4,5,5,5,2,6,4,4,4,3,5,7,5,1,7,7,7,2,6,6,7,5,6,1,4,2,2,6,8,Repair(Condition 3 and 4),109
P066,1,7,7,7,7,7,7,7,6,7,7,7,7,1,6,7,7,2,7,7,7,7,7,3,5,6,8,1,2,No-repair(Conditon 1 and 2),141
P067,2,2,5,1,1,4,5,2,5,3,4,7,5,2,4,4,6,2,5,3,4,4,3,1,5,7,6,4,3,No-repair(Conditon 1 and 2),81
P069,4,4,4,5,4,4,4,4,4,5,5,6,4,4,4,5,5,4,5,4,4,4,6,1,4,3,4,10,9,Repair(Condition 3 and 4),98
P071,2,1,1,1,1,3,4,3,5,4,2,4,2,3,3,4,4,6,4,3,4,4,2,1,5,3,2,8,10,No-repair(Conditon 1 and 2),68
P072,1,6,6,6,6,6,6,6,4,4,6,4,4,6,6,4,6,6,6,4,5,6,6,3,5,1,2,5,5,No-repair(Conditon 1 and 2),119
P073,4,6,6,7,6,7,4,6,6,7,7,6,5,2,6,7,6,5,7,6,7,6,6,1,4,3,4,9,9,Repair(Condition 3 and 4),131
P074,1,6,7,7,7,7,5,5,5,7,6,7,6,2,4,7,7,2,7,6,7,4,7,3,5,3,3,8,6,No-repair(Conditon 1 and 2),128
P075,2,2,2,4,3,3,4,4,5,4,3,6,2,2,4,2,5,4,3,3,4,4,4,1,5,2,3,6,7,No-repair(Conditon 1 and 2),77
P076,3,4,5,3,4,3,3,3,2,5,5,4,5,4,4,5,4,5,5,5,4,4,3,3,4,8,8,2,4,Repair(Condition 3 and 4),89
P077,4,3,3,5,3,4,4,4,5,4,3,6,4,3,5,3,5,3,5,3,5,4,5,1,4,6,6,5,5,Repair(Condition 3 and 4),89
P078,1,7,7,7,7,7,7,1,7,7,7,7,3,3,2,7,7,3,7,7,7,7,7,3,5,4,9,7,9,No-repair(Conditon 1 and 2),131
P079,2,1,2,1,1,1,6,4,4,3,1,4,2,4,2,3,4,3,3,1,1,2,1,1,5,1,1,10,10,No-repair(Conditon 1 and 2),54
P080,3,5,3,7,6,4,3,4,6,7,5,4,4,3,6,7,4,6,6,5,5,5,6,3,4,7,8,5,4,Repair(Condition 3 and 4),111
P081,4,3,3,5,3,6,4,4,5,6,3,6,4,3,4,3,5,5,5,4,5,4,3,1,4,3,5,6,5,Repair(Condition 3 and 4),93
P082,1,5,6,5,5,5,5,4,5,5,5,6,5,4,5,5,6,4,5,5,5,3,5,3,5,3,7,1,1,No-repair(Conditon 1 and 2),108
P085,4,6,7,6,7,6,6,4,6,7,5,7,5,1,6,7,5,3,6,5,7,4,6,1,4,4,6,5,6,Repair(Condition 3 and 4),122
P086,1,7,7,7,7,6,6,5,6,7,6,7,4,3,5,7,5,4,7,6,6,5,7,3,5,5,6,5,5,No-repair(Conditon 1 and 2),130
P087,2,2,2,3,4,3,4,3,5,5,2,6,4,3,5,4,6,5,3,3,5,5,3,1,5,4,3,6,7,No-repair(Conditon 1 and 2),85
