Participant number:,Participant study:,This voice agent made me feel: - Successful.,This voice agent made me feel: - Frustrated.,This voice agent made me feel: - Helped.,This voice agent made me feel: - Efficient.,This voice agent made me feel: - Happy.,This voice agent made me feel: - Agile.,This voice agent made me feel: - Pragmatic.,"This voice agent was: - Extraverted, enthusiastic.","This voice agent was: - Critical, quarrelsome.","This voice agent was: - Dependable, self-disciplined.","This voice agent was: - Anxious, easily upset.","This voice agent was: - Open to new experiences, complex.","This voice agent was: - Reserved, quiet.","This voice agent was: - Sympathetic, warm.","This voice agent was: - Disorganized, careless.","This voice agent was: - Calm, emotionally stable.","This voice agent was: - Conventional, uncreative.",This voice agent was: - Smart.,This voice agent was: - Trustworthy.,This voice agent was: - Likeable.,This voice agent was: - Pragmatic.,This voice agent was: - Helpful.,Did this voice agent ever make a mistake?,Did this agent ever try to repair a mistake it made?,A voice agent that always tried to correct itself after a mistake ... - ... would annoy me,A voice agent that always tried to correct itself after a mistake ... - ... would waste my time,A voice agent that always tried to correct itself after a mistake ... - ... would improve the conversation quality,A voice agent that always tried to correct itself after a mistake ... - ... would help me feel less frustrated
P046,1,4,4,6,6,4,5,5,4,1,5,1,7,4,4,1,4,1,6,4,4,6,5,3,5,10,10,0,10
P047,4,6,2,6,6,4,4,2,6,2,6,2,6,6,4,4,4,2,6,6,6,2,6,1,4,4,8,8,4
P048,2,1,7,1,1,1,1,7,2,3,1,2,2,5,2,2,4,4,1,1,1,7,1,1,4,1,1,9,9
P049,3,7,5,6,6,6,6,6,5,1,3,6,7,4,5,2,4,2,6,6,6,4,6,3,4,7,3,5,4
P050,1,7,2,7,6,5,2,4,5,2,4,1,3,4,3,2,7,6,6,6,5,7,7,3,5,2,4,7,7
P051,2,3,5,3,2,3,3,5,5,3,3,3,5,3,3,3,5,3,3,2,3,5,5,1,5,4,7,4,4
P052,3,6,3,6,7,6,5,5,3,1,6,1,4,3,5,2,7,6,5,6,5,5,6,3,4,4,3,7,8
P053,4,4,6,7,3,4,5,4,5,1,2,1,5,2,6,2,5,4,5,2,5,6,7,1,4,4,6,9,7
P054,1,4,4,5,5,2,2,5,4,4,5,4,4,4,4,4,4,4,4,5,2,4,5,3,5,5,5,5,6
P055,2,1,7,3,2,3,1,1,5,1,3,2,2,4,5,5,6,5,2,2,5,2,1,1,4,2,1,8,8
P056,3,7,1,7,7,5,4,6,5,6,5,7,4,3,5,3,4,5,5,5,3,3,5,3,4,7,5,0,1
P057,4,3,6,3,5,5,4,5,5,4,5,3,4,4,5,5,5,3,5,5,5,4,6,1,4,10,9,6,6
P058,1,7,2,5,6,6,4,4,3,2,5,2,2,3,5,2,6,4,5,5,6,4,6,3,5,6,4,6,4
P059,2,2,6,1,2,3,2,4,5,3,1,4,2,4,2,6,5,3,3,1,5,4,2,1,5,3,1,7,8
P060,3,6,2,7,6,6,6,7,4,1,6,6,4,2,4,1,3,2,7,7,6,7,7,3,4,9,7,5,4
P061,4,6,5,6,5,6,5,5,5,3,6,2,6,4,6,2,5,6,6,5,6,5,6,1,4,0,0,8,8
P062,1,6,2,7,7,6,5,7,5,1,6,2,5,3,5,1,5,5,6,6,5,7,7,3,5,4,6,8,7
P063,2,3,5,2,2,4,1,4,5,6,3,1,3,5,4,5,5,5,4,2,4,3,2,1,5,4,3,10,10
P064,3,5,1,7,7,5,5,4,5,1,6,1,2,2,5,1,6,2,5,6,6,4,7,3,4,2,3,5,5
P065,4,5,3,5,2,6,4,4,4,5,5,1,5,1,7,1,7,2,6,6,7,5,6,1,4,2,2,6,8
P066,1,7,1,7,7,7,7,7,6,1,7,1,7,1,6,1,7,2,7,7,7,7,7,3,5,6,8,1,2
P067,2,2,3,1,1,4,5,2,5,5,4,1,5,2,4,4,6,2,5,3,4,4,3,1,5,7,6,4,3
P068,3,6,1,7,7,5,4,4,5,6,7,5,4,1,2,1,4,4,4,6,6,4,7,1,4,0,0,7,7
P069,4,4,4,5,4,4,4,4,4,3,5,2,4,4,4,3,5,4,5,4,4,4,6,1,4,3,4,10,9
P070,3,5,6,4,5,3,5,4,5,4,5,2,4,2,6,5,4,4,4,4,5,5,6,1,4,10,10,10,2
P071,2,1,7,1,1,3,4,3,5,4,2,4,2,3,3,4,4,6,4,3,4,4,2,1,5,3,2,8,10
P072,1,6,2,6,6,6,6,6,4,4,6,4,4,6,6,4,6,6,6,4,5,6,6,3,5,1,2,5,5
P073,4,6,2,7,6,7,4,6,6,1,7,2,5,2,6,1,6,5,7,6,7,6,6,1,4,3,4,9,9
